PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name
0013_01,0,1,2784,2,27,0,0,0,0,0,0,2912
0018_01,0,0,1867,2,19,0,0,9,0,2823,0,2406
0019_01,1,1,257,0,31,0,0,0,0,0,0,3376
0021_01,1,0,259,2,38,0,0,6652,0,181,585,2711
0023_01,0,0,1940,2,20,0,10,0,635,0,0,668
0027_01,0,0,2098,2,31,0,0,1615,263,113,60,2249
0029_01,1,1,120,0,21,0,0,439,0,0,0,71
0032_01,1,1,463,2,20,0,0,0,0,0,0,17
0032_02,1,1,463,0,23,0,0,0,0,0,0,1135
0033_01,0,0,2099,0,24,0,0,639,0,0,0,1341
0037_01,0,0,2248,2,19,0,339,3,136,237,0,3989
0040_01,1,0,533,2,45,0,932,74,177,7,1010,323
0040_02,1,0,533,2,44,0,0,1561,0,14,224,2119
0042_01,2,1,652,2,46,0,0,0,0,0,0,1813
0046_01,0,0,2853,2,21,0,0,0,0,1687,92,2903
0046_02,0,0,1134,2,27,0,0,0,0,903,311,1667
0046_03,0,0,1134,2,20,0,2,12,253,457,690,2145
0047_01,1,1,59,2,44,0,0,0,0,0,0,4116
0047_02,1,0,2691,2,29,0,0,7708,243,569,343,2857
0047_03,1,0,59,2,40,0,26,1925,8,3144,63,557
0048_01,0,0,2932,2,30,0,0,878,26,3,0,3913
0049_01,0,0,653,2,14,0,219,0,0,1609,0,1205
0054_01,1,1,211,0,31,0,0,0,0,0,0,100
0054_02,1,0,211,0,27,0,0,6977,0,4,1235,215
0054_03,1,0,211,0,66,0,39,6452,0,1409,155,4115
0055_01,0,0,2931,2,24,0,1784,8,18,18,0,667
0057_01,1,0,258,0,19,0,293,3495,5273,118,422,1592
0059_01,0,1,720,2,36,0,0,0,0,0,0,2067
0060_01,0,0,1202,2,21,0,0,619,12,3,0,1483
0063_01,0,1,3132,0,18,0,0,0,0,0,0,1324
0065_01,0,1,3193,2,26,0,0,0,0,0,0,2810
0075_01,0,0,2386,2,19,0,598,0,30,0,0,3495
0079_01,0,1,2463,2,48,0,0,0,0,0,0,3971
0080_01,0,0,3060,2,23,0,14,870,0,0,23,4020
0083_01,0,0,3131,2,24,0,483,0,87,214,0,2440
0087_01,0,0,796,2,19,0,0,20,135,265,367,2714
0089_01,2,1,1699,2,24,0,0,0,0,0,0,2987
