PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,1,0,149,2,39,0,0,0,0,0,0,5252,0
0002_01,0,0,2184,2,24,0,109,9,25,549,44,4502,1
0003_01,1,0,1,2,58,1,43,3576,0,6715,49,457,0
0003_02,1,0,1,2,33,0,0,1283,371,3329,193,7149,0
0004_01,0,0,2186,2,16,0,303,70,151,565,2,8319,1
0005_01,0,0,2183,1,44,0,0,483,0,291,0,6878,1
0006_01,0,0,3425,2,26,0,42,1539,3,0,0,1155,1
0006_02,0,1,4559,2,28,0,0,0,0,0,305,1453,1
0007_01,0,0,3565,2,35,0,0,785,17,216,0,556,1
0008_01,1,1,150,0,14,0,0,0,0,0,0,2864,1
0008_02,1,1,150,2,34,0,0,0,174,0,0,453,1
0008_03,1,0,150,0,45,0,39,7295,589,110,124,8255,1
0009_01,2,0,2185,2,32,0,73,0,1123,0,113,1084,1
0010_01,0,0,4561,2,48,0,719,1,65,0,24,6576,0
0011_01,0,0,3424,2,28,0,8,974,12,2,7,2699,1
0012_01,0,0,6156,2,31,0,32,0,876,0,0,4535,0
0014_01,2,0,3564,0,27,0,1286,122,174,0,0,3060,0
0015_01,0,0,3696,0,24,0,0,1,0,0,637,1548,0
0016_01,2,1,3844,2,45,0,0,0,0,0,0,465,1
0017_01,0,0,4558,2,0,0,0,0,0,0,0,5172,1
0017_02,0,0,3988,0,14,0,412,0,1,0,679,6244,0
0020_01,0,1,1407,2,1,0,0,0,0,0,0,364,0
0020_02,0,1,1407,0,49,0,0,0,0,0,0,3371,0
0020_03,0,1,1407,0,29,0,0,0,174,0,0,5676,0
0020_04,0,0,1407,2,10,0,0,0,0,0,0,1343,1
0020_05,0,1,1407,1,1,0,225,0,0,0,0,5239,0
0020_06,0,0,1407,2,7,0,0,0,0,0,0,7606,0
0022_01,2,0,1034,2,21,0,980,2,69,0,0,414,0
0024_01,1,1,750,2,62,0,0,0,174,0,0,6208,1
0025_01,0,0,3989,2,15,0,0,225,0,998,0,4561,0
0026_01,1,0,598,0,34,0,22,6073,0,1438,328,664,0
0028_01,2,0,4268,2,43,0,1125,0,136,48,0,1627,0
0030_01,0,0,5660,2,32,0,0,850,81,437,453,3355,0
0031_01,2,0,4406,2,47,0,214,0,1411,0,1229,1900,1
0031_02,2,0,4406,2,2,0,0,0,0,0,0,1780,1
0031_03,2,0,4406,2,20,0,225,0,1750,990,0,2367,1
0034_01,1,1,1036,0,28,0,0,0,0,0,0,8451,1
0035_01,2,0,1035,0,23,0,784,964,0,951,0,5147,0
0036_01,0,0,4269,0,15,0,0,492,48,20,401,5336,0
0038_01,0,0,2188,0,20,0,554,195,0,2606,0,5046,0
0039_01,0,1,4560,0,30,0,0,0,174,0,0,4456,0
0041_01,0,1,5362,2,17,0,0,0,0,0,0,5311,1
0043_01,1,0,461,2,45,0,0,164,45,2511,855,586,0
0044_01,0,1,5513,2,55,0,0,0,0,0,0,4396,0
0044_02,0,1,5513,0,4,0,0,0,0,0,0,4630,1
0044_03,0,1,5513,1,21,0,0,0,0,0,0,1567,1
0045_01,2,0,2187,2,21,0,970,0,180,0,64,8443,0
0045_02,2,1,2187,2,19,0,0,0,0,0,0,5389,1
0050_01,0,0,1408,0,35,0,790,0,0,311,0,7173,0
0051_01,0,0,1557,2,56,0,0,112,0,1379,127,8061,0
0052_01,0,0,5955,2,29,0,4,0,2,4683,0,2589,0
0053_01,0,0,2330,2,25,0,0,0,1938,0,1,2733,1
0056_01,1,0,2,2,2,0,0,0,0,0,0,6054,1
0056_02,1,1,2,2,38,0,0,0,0,0,0,4041,1
